player,player_id,team,season,lg,replaced,full_team_name
James Harden,hardeja01,West,2016,NBA,FALSE,Los Angeles Clippers
Kawhi Leonard,leonaka01,West,2016,NBA,FALSE,Los Angeles Clippers
Chris Paul,paulch01,West,2016,NBA,FALSE,Los Angeles Clippers
Klay Thompson,thompkl01,West,2016,NBA,FALSE,Dallas Mavericks
Russell Westbrook,westbru01,West,2016,NBA,FALSE,Sacramento Kings
Carmelo Anthony,anthoca01,East,2015,NBA,FALSE,Los Angeles Lakers
Chris Bosh,boshch01,East,2015,NBA,FALSE,Miami Heat
Jimmy Butler,butleji01,East,2015,NBA,FALSE,Golden State Warriors
Pau Gasol,gasolpa01,East,2015,NBA,FALSE,
Al Horford,horfoal01,East,2015,NBA,FALSE,Golden State Warriors
Kyrie Irving,irvinky01,East,2015,NBA,FALSE,Dallas Mavericks
LeBron James,jamesle01,East,2015,NBA,FALSE,Los Angeles Lakers
Kyle Korver,korveky01,East,2015,NBA,FALSE,Milwaukee Bucks
Kyle Lowry,lowryky01,East,2015,NBA,FALSE,Philadelphia 76ers
Paul Millsap,millspa01,East,2015,NBA,FALSE,
Jeff Teague,teaguje01,East,2015,NBA,FALSE,
Dwyane Wade,wadedw01,East,2015,NBA,TRUE,Miami Heat
John Wall,walljo01,East,2015,NBA,FALSE,Los Angeles Clippers
LaMarcus Aldridge,aldrila01,West,2015,NBA,FALSE,Brooklyn Nets
Kobe Bryant,bryanko01,West,2015,NBA,TRUE,Los Angeles Lakers
DeMarcus Cousins,couside01,West,2015,NBA,FALSE,
Stephen Curry,curryst01,West,2015,NBA,FALSE,Golden State Warriors
Anthony Davis,davisan02,West,2015,NBA,TRUE,Dallas Mavericks
Tim Duncan,duncati01,West,2015,NBA,FALSE,San Antonio Spurs
Kevin Durant,duranke01,West,2015,NBA,FALSE,Houston Rockets
Marc Gasol,gasolma01,West,2015,NBA,FALSE,Los Angeles Lakers
Blake Griffin,griffbl01,West,2015,NBA,TRUE,Boston Celtics
James Harden,hardeja01,West,2015,NBA,FALSE,Los Angeles Clippers
Damian Lillard,lillada01,West,2015,NBA,FALSE,Milwaukee Bucks
Dirk Nowitzki,nowitdi01,West,2015,NBA,FALSE,Dallas Mavericks
Chris Paul,paulch01,West,2015,NBA,FALSE,Los Angeles Clippers
Klay Thompson,thompkl01,West,2015,NBA,FALSE,Dallas Mavericks
Russell Westbrook,westbru01,West,2015,NBA,FALSE,Sacramento Kings
