college,1-5,6-10,11-15,16-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60
New York Institute of Technology,0,0,0,0,0,0,0,0,0,0,0,2
Newberry College,0,0,0,0,0,0,0,0,0,0,0,3
Niagara University,1,0,1,4,1,0,0,0,1,1,1,10
Nicholls State,0,0,0,0,0,0,0,1,0,0,0,1
Norfolk State,0,0,0,0,0,0,1,0,1,1,1,10
North Carolina A&T,0,0,0,0,0,0,0,1,0,1,0,17
North Central College,0,0,0,0,0,0,0,0,0,0,0,1
North Dakota State University,0,0,0,0,0,0,0,0,0,0,0,3
North Park University,0,0,0,0,0,0,0,0,0,0,0,4
Northeast Mississippi Community College,0,0,0,0,1,0,0,0,0,0,0,0
Northeastern Illinois University,0,0,0,0,0,0,0,0,0,0,0,1
Northeastern State University,0,1,0,0,0,0,0,0,0,0,0,2
Northeastern University,0,0,0,0,1,0,0,1,0,0,0,11
Northern Arizona University,0,0,0,0,0,0,0,0,0,0,1,7
Northern Illinois,0,0,0,0,0,0,0,0,0,2,0,6
Northern Michigan University,0,0,0,0,0,0,0,0,0,0,0,5
Northern State University,0,0,0,0,0,0,0,0,0,0,0,2
Northwest Missouri State University,0,0,0,0,0,0,0,0,0,0,0,3
Northwestern,0,0,1,1,1,0,3,2,2,0,1,16
Northwestern Oklahoma State University,0,0,0,0,0,0,1,0,0,0,0,1
Northwestern State University,1,0,0,0,0,0,0,0,0,0,0,6
Northwood University,0,0,0,0,0,0,0,0,0,0,0,2
Notre Dame,5,3,4,8,7,2,1,1,4,1,3,19
Oakland,0,0,0,0,0,0,0,0,0,1,1,0
Oberlin College,0,0,0,0,0,0,0,0,0,0,0,1
Occidental College,0,0,0,0,0,0,0,0,0,0,0,1
Oglethorpe University,0,0,0,0,0,0,0,0,0,0,0,2
Ohio State,10,7,2,2,7,5,0,2,2,2,5,12
Ohio University,0,0,2,0,0,1,1,0,1,1,0,13
Ohio Wesleyan University,0,0,0,0,1,0,0,1,0,0,0,0
Okaloosa-Walton Community College,0,0,1,0,0,0,0,0,0,0,0,0
Oklahoma,5,3,3,0,0,1,2,5,1,4,3,24
Oklahoma Baptist University,0,1,0,0,0,0,0,0,0,0,0,2
Oklahoma Christian University,0,0,0,0,0,0,0,0,0,0,0,4
Oklahoma City University,0,0,3,2,0,2,0,2,0,1,0,8
Oklahoma Panhandle State University,0,0,0,0,0,0,0,0,0,0,0,2
Oklahoma State,2,2,1,3,1,3,2,2,1,2,1,14
Old Dominion,0,0,0,2,1,2,0,0,0,0,2,6
Ole Miss,0,0,0,1,0,2,0,3,1,0,0,8
Oral Roberts,0,0,0,0,1,0,0,1,0,3,2,13
Oregon,2,4,7,1,0,2,1,1,6,1,4,21
Oregon State,2,3,4,2,3,3,1,2,1,2,1,20
Otterbein College,0,0,0,0,0,0,0,0,0,0,0,1
Ouachita Baptist University,0,0,0,0,1,0,0,0,0,0,1,0
Pace University,0,0,0,0,0,0,0,0,0,0,0,1
Pacific Lutheran University,0,0,0,0,0,0,0,0,0,0,0,2
Pacific University,0,0,0,0,0,0,0,0,0,0,0,2
Paine College,0,0,0,0,0,0,0,0,0,0,0,1
Paul Quinn College,0,0,0,0,0,0,0,0,0,0,0,1
Penn,2,1,1,0,0,2,2,0,1,2,1,9
Penn State,0,0,1,0,1,1,2,0,0,1,1,7
Pepperdine,0,0,0,1,1,2,0,1,1,0,3,25
Philadelphia University,0,0,0,0,0,0,0,0,0,0,0,4
Phillips University,0,0,0,1,0,0,0,0,0,0,0,1
Pikeville College,0,0,0,0,0,0,0,0,0,0,0,3
Pitt,1,0,2,2,2,1,1,3,2,3,2,10
Point Loma Nazarene,0,0,0,0,0,0,0,0,0,1,0,3
Point Park University,0,0,0,0,0,0,0,0,0,0,0,1
Polytechnic University,0,0,0,0,0,0,0,0,0,0,0,1
Portland State,0,1,0,0,0,0,0,0,0,0,0,1
Prairie View A&M University,1,0,0,0,0,0,0,0,0,0,0,3
Pratt Institute,0,0,0,0,0,0,0,0,0,0,0,1
Presbyterian College,0,0,0,0,0,0,0,0,0,0,0,1
Princeton,1,2,1,0,1,0,0,1,1,2,1,15
